event,event_name,market,driver,grid_pos,direction,entry_price,base_rate,edge,kelly,position_pct,stake,contracts,outcome,finish_pos,event_happened,gross_pnl,net_pnl,bankroll_after
BRGP25,British Grand Prix,RACEPODIUM,HAM,5,BUY_NO,0.7228,0.2037,0.0735,0.2652,0.0663,2.86,3.95,WIN,4,False,1.09,1.02,44.11
BRGP25,British Grand Prix,RACEPODIUM,LEC,6,BUY_YES,0.1504,0.2358,0.0854,0.1005,0.0251,1.11,7.37,LOSS,14,False,-1.11,-1.11,43.0
BRGP25,British Grand Prix,RACEPODIUM,NOR,3,BUY_NO,0.3035,0.4057,0.2908,0.4175,0.1044,4.49,14.79,LOSS,1,True,-4.49,-4.49,38.51
BRGP25,British Grand Prix,RACEPODIUM,RUS,4,BUY_YES,0.1123,0.3704,0.2581,0.2908,0.0727,2.8,24.93,LOSS,10,False,-2.8,-2.8,35.71
BRGP25,British Grand Prix,RACEPODIUM,VER,1,BUY_NO,0.2045,0.6481,0.1474,0.1853,0.0463,1.65,8.09,WIN,5,False,6.4,5.98,41.7
BRGP25,British Grand Prix,RACEPODIUM,PIA,2,BUY_NO,0.2396,0.5455,0.2149,0.2826,0.0707,2.95,12.3,LOSS,2,True,-2.95,-2.95,38.75
BELGP25,Belgian Grand Prix,RACE,NOR,1,BUY_NO,0.571,0.25,0.179,0.4172,0.1043,4.04,7.08,WIN,2,False,3.02,2.82,41.57
BELGP25,Belgian Grand Prix,RACE,PIA,2,BUY_NO,0.6166,0.2364,0.147,0.3834,0.0959,3.98,6.46,LOSS,1,True,-3.98,-3.98,37.59
BELGP25,Belgian Grand Prix,RACEPODIUM,VER,4,BUY_NO,0.3456,0.3704,0.284,0.434,0.1085,4.08,11.8,WIN,4,False,7.68,7.18,44.77
BELGP25,Belgian Grand Prix,RACEPODIUM,RUS,6,BUY_YES,0.1516,0.2358,0.0842,0.0992,0.0248,1.11,7.33,LOSS,5,False,-1.11,-1.11,43.66
BELGP25,Belgian Grand Prix,RACEPODIUM,NOR,1,BUY_NO,0.1386,0.6481,0.2133,0.2476,0.0619,2.7,19.5,LOSS,2,True,-2.7,-2.7,40.96
BELGP25,Belgian Grand Prix,RACEPODIUM,PIA,2,BUY_NO,0.1622,0.5455,0.2923,0.3489,0.0872,3.57,22.02,LOSS,1,True,-3.57,-3.57,37.38
BELGP25,Belgian Grand Prix,RACEPODIUM,ALB,5,BUY_YES,0.0841,0.2037,0.1196,0.1306,0.0326,1.22,14.51,LOSS,6,False,-1.22,-1.22,36.16
HUNGP25,Hungarian Grand Prix,RACE,NOR,3,BUY_NO,0.7117,0.1132,0.1751,0.6074,0.15,5.42,7.62,LOSS,1,True,-5.42,-5.42,30.74
HUNGP25,Hungarian Grand Prix,RACE,PIA,2,BUY_NO,0.5081,0.2364,0.2555,0.5194,0.1299,3.99,7.86,WIN,2,False,3.85,3.59,34.33
HUNGP25,Hungarian Grand Prix,RACEPODIUM,STR,6,BUY_YES,0.0296,0.2358,0.2062,0.2125,0.0531,1.82,61.62,LOSS,7,False,-1.82,-1.82,32.51
HUNGP25,Hungarian Grand Prix,RACEPODIUM,NOR,3,BUY_NO,0.1409,0.4057,0.4534,0.5278,0.1319,4.29,30.44,LOSS,1,True,-4.29,-4.29,28.22
HUNGP25,Hungarian Grand Prix,RACEPODIUM,PIA,2,BUY_NO,0.1237,0.5455,0.3308,0.3775,0.0944,2.66,21.53,LOSS,2,True,-2.66,-2.66,25.56
DUTGP25,Dutch Grand Prix,RACE,PIA,1,BUY_NO,0.3911,0.25,0.3589,0.5894,0.1474,3.77,9.63,LOSS,1,True,-3.77,-3.77,21.79
DUTGP25,Dutch Grand Prix,RACE,NOR,2,BUY_NO,0.6559,0.2364,0.1077,0.313,0.0782,1.71,2.6,WIN,18,False,0.89,0.83,22.62
DUTGP25,Dutch Grand Prix,RACEPODIUM,HAD,4,BUY_YES,0.0915,0.3704,0.2789,0.307,0.0767,1.74,18.98,WIN,3,True,17.15,16.03,38.66
DUTGP25,Dutch Grand Prix,RACEPODIUM,VER,3,BUY_NO,0.3131,0.4057,0.2812,0.4094,0.1023,3.96,12.64,LOSS,2,True,-3.96,-3.96,34.7
DUTGP25,Dutch Grand Prix,RACEPODIUM,RUS,5,BUY_NO,0.7234,0.2037,0.0729,0.2636,0.0659,2.29,3.16,WIN,4,False,0.87,0.81,35.51
DUTGP25,Dutch Grand Prix,RACEPODIUM,NOR,2,BUY_NO,0.1026,0.5455,0.3519,0.3921,0.098,3.48,33.93,WIN,18,False,30.3,28.32,63.83
DUTGP25,Dutch Grand Prix,RACEPODIUM,LEC,6,BUY_YES,0.1189,0.2358,0.1169,0.1327,0.0332,2.12,17.81,LOSS,19,False,-2.12,-2.12,61.71
DUTGP25,Dutch Grand Prix,RACEPODIUM,PIA,1,BUY_NO,0.0931,0.6481,0.2588,0.2854,0.0713,4.4,47.29,LOSS,1,True,-4.4,-4.4,57.31
ITAGP25,Italian Grand Prix,RACE,VER,1,BUY_NO,0.6997,0.25,0.0503,0.1675,0.0419,2.4,3.43,LOSS,1,True,-2.4,-2.4,54.91
ITAGP25,Italian Grand Prix,RACE,RUS,6,BUY_YES,0.0109,0.0849,0.074,0.0748,0.0187,1.03,94.22,LOSS,5,False,-1.03,-1.03,53.88
ITAGP25,Italian Grand Prix,RACE,PIA,3,BUY_NO,0.7301,0.1132,0.1567,0.5806,0.1451,7.82,10.71,WIN,3,False,2.88,2.69,56.57
ITAGP25,Italian Grand Prix,RACE,NOR,2,BUY_NO,0.6102,0.2364,0.1534,0.3935,0.0984,5.57,9.12,WIN,2,False,3.54,3.31,59.88
ITAGP25,Italian Grand Prix,RACE,HAM,5,BUY_YES,0.01,0.0833,0.0733,0.074,0.0185,1.11,110.84,LOSS,6,False,-1.11,-1.11,58.77
ITAGP25,Italian Grand Prix,RACEPODIUM,VER,1,BUY_NO,0.2254,0.6481,0.1265,0.1633,0.0408,2.4,10.65,LOSS,1,True,-2.4,-2.4,56.37
ITAGP25,Italian Grand Prix,RACEPODIUM,LEC,4,BUY_NO,0.557,0.3704,0.0726,0.1639,0.041,2.31,4.15,WIN,4,False,1.83,1.71,58.08
ITAGP25,Italian Grand Prix,RACEPODIUM,HAM,5,BUY_YES,0.0656,0.2037,0.1381,0.1478,0.0369,2.15,32.71,LOSS,6,False,-2.15,-2.15,55.93
ITAGP25,Italian Grand Prix,RACEPODIUM,RUS,6,BUY_YES,0.1379,0.2358,0.0979,0.1136,0.0284,1.59,11.52,LOSS,5,False,-1.59,-1.59,54.35
ITAGP25,Italian Grand Prix,RACEPODIUM,NOR,2,BUY_NO,0.1737,0.5455,0.2808,0.3398,0.085,4.62,26.58,LOSS,2,True,-4.62,-4.62,49.73
ITAGP25,Italian Grand Prix,RACEPODIUM,PIA,3,BUY_NO,0.2244,0.4057,0.3699,0.4769,0.1192,5.93,26.42,LOSS,3,True,-5.93,-5.93,43.8
AZEGP25,Azerbaijan Grand Prix,RACE,ANT,4,BUY_YES,0.013,0.1111,0.0981,0.0994,0.0248,1.09,83.72,LOSS,4,False,-1.09,-1.09,42.71
AZEGP25,Azerbaijan Grand Prix,RACE,VER,1,BUY_NO,0.3414,0.25,0.4086,0.6204,0.15,6.41,18.77,LOSS,1,True,-6.41,-6.41,36.3
AZEGP25,Azerbaijan Grand Prix,RACE,SAI,2,BUY_YES,0.0298,0.2364,0.2066,0.2129,0.0532,1.93,64.86,LOSS,3,False,-1.93,-1.93,34.37
AZEGP25,Azerbaijan Grand Prix,RACEPODIUM,VER,1,BUY_NO,0.1174,0.6481,0.2345,0.2657,0.0664,2.28,19.45,LOSS,1,True,-2.28,-2.28,32.09
AZEGP25,Azerbaijan Grand Prix,RACEPODIUM,TSU,6,BUY_YES,0.0356,0.2358,0.2002,0.2076,0.0519,1.67,46.78,LOSS,6,False,-1.67,-1.67,30.42
