round,event_code,race_name,market_type,driver,grid_pos,finish_pos,outcome,yes_vwap,no_vwap,volume,n_trades,qual_end_utc,race_start_utc
7,ERGP25,Emilia Romagna,RACE,ALO,5,11,0,0.01,0.99,396.0,5,2025-05-17T15:20:00+00:00,2025-05-18T13:00:00+00:00
7,ERGP25,Emilia Romagna,RACE,NOR,4,2,0,0.1099,0.8901,6907.0,110,2025-05-17T15:20:00+00:00,2025-05-18T13:00:00+00:00
7,ERGP25,Emilia Romagna,RACE,HAM,12,4,0,0.0131,0.9869,2997.0,14,2025-05-17T15:20:00+00:00,2025-05-18T13:00:00+00:00
7,ERGP25,Emilia Romagna,RACE,LEC,11,6,0,0.019,0.981,971.0,9,2025-05-17T15:20:00+00:00,2025-05-18T13:00:00+00:00
7,ERGP25,Emilia Romagna,RACEPODIUM,PIA,1,3,1,0.8662,0.1338,50.0,3,2025-05-17T15:20:00+00:00,2025-05-18T13:00:00+00:00
7,ERGP25,Emilia Romagna,RACEPODIUM,HAM,12,4,0,0.0686,0.9314,1409.0,7,2025-05-17T15:20:00+00:00,2025-05-18T13:00:00+00:00
7,ERGP25,Emilia Romagna,RACEPODIUM,VER,2,1,1,0.7877,0.2123,1372.0,24,2025-05-17T15:20:00+00:00,2025-05-18T13:00:00+00:00
7,ERGP25,Emilia Romagna,RACEPODIUM,NOR,4,2,1,0.6473,0.3527,281.0,5,2025-05-17T15:20:00+00:00,2025-05-18T13:00:00+00:00
7,ERGP25,Emilia Romagna,RACEPODIUM,RUS,3,7,0,0.494,0.506,2082.0,23,2025-05-17T15:20:00+00:00,2025-05-18T13:00:00+00:00
7,ERGP25,Emilia Romagna,RACEPODIUM,ALO,5,11,0,0.0486,0.9514,142.0,4,2025-05-17T15:20:00+00:00,2025-05-18T13:00:00+00:00
8,MCGP25,Monaco,RACE,ALO,7,19,0,0.01,0.99,587.0,5,2025-05-24T15:20:00+00:00,2025-05-25T13:00:00+00:00
8,MCGP25,Monaco,RACE,PIA,3,3,0,0.1173,0.8827,12171.0,90,2025-05-24T15:20:00+00:00,2025-05-25T13:00:00+00:00
8,MCGP25,Monaco,RACE,RUS,14,11,0,0.01,0.99,610.0,4,2025-05-24T15:20:00+00:00,2025-05-25T13:00:00+00:00
