round,driver,market,vwap_yes,vwap_no,n_trades,volume,price_std,grid_pos,team,finish_pos,outcome,base_rate,edge_yes,edge_no
5,OCO,winner,1.0,99.0,3,293,0.0,19,Haas F1 Team,14,0,0.0,-1.0,-98.0
5,PIA,podium,0.7942948717948718,0.20570512820512823,20,1092,0.0347320570866985,2,McLaren,1,1,0.72,-0.07429487179487182,0.07429487179487179
5,PIA,winner,0.47817826178896167,0.5218217382110383,186,9458,0.021384035034897608,2,McLaren,1,1,0.24,-0.23817826178896168,0.23817826178896173
5,RUS,podium,0.5088592592592592,0.4911407407407407,64,3375,0.042663957782310746,3,Mercedes,5,0,0.536,0.0271407407407408,-0.027140740740740743
5,RUS,winner,0.06286345001576792,0.937136549984232,84,3171,0.017293988621932665,3,Mercedes,5,0,0.12,0.05713654998423208,-0.05713654998423201
5,SAI,podium,0.5756159822419532,55.36334073251942,11,901,0.4814995515904643,6,Williams,8,0,0.12,-0.4556159822419532,-54.483340732519416
5,SAI,winner,1.0,99.0,3,279,0.0,6,Williams,8,0,0.032,-0.968,-98.032
5,STR,winner,1.0,99.0,3,286,0.0,16,Aston Martin,16,0,0.0,-1.0,-98.0
5,TSU,podium,0.5661111111111111,55.43388888888889,3,180,0.5629387178015027,8,Red Bull Racing,19,0,0.024,-0.5421111111111111,-54.45788888888889
5,TSU,winner,1.0,99.0,2,230,0.0,8,Red Bull Racing,19,0,0.008,-0.992,-98.008
5,VER,podium,0.7282040173296573,0.27179598267034266,63,5078,0.15826892537505688,1,Red Bull Racing,2,1,0.8,0.0717959826703427,-0.0717959826703427
5,VER,winner,0.4414131563334322,0.5585868436665677,346,26968,0.02600785737788272,1,Red Bull Racing,2,0,0.496,0.0545868436665678,-0.05458684366656774
6,ALB,podium,0.028506493506493504,0.9714935064935064,4,154,0.004999999999999999,7,Williams,5,0,0.073,0.04449350649350649,-0.04449350649350636
6,ALB,winner,1.0,99.0,4,380,0.0,7,Williams,5,0,0.008,-0.992,-98.008
6,ALO,podium,0.03,0.97,1,100,0.0,17,Aston Martin,15,0,0.0,-0.03,0.030000000000000027
6,ALO,winner,1.0,99.0,5,500,0.0,17,Aston Martin,15,0,0.0,-1.0,-98.0
6,ANT,podium,0.3510380412788345,0.6489619587211656,65,4942,0.0688514985033285,3,Mercedes,6,0,0.536,0.18496195872116555,-0.1849619587211656
6,ANT,winner,0.05708922294517987,0.9429107770548201,92,13371,0.009411747140311313,3,Mercedes,6,0,0.12,0.06291077705482012,-0.06291077705482007
6,BEA,podium,0.02,0.98,2,193,0.0,20,Haas F1 Team,19,0,0.0,-0.02,0.020000000000000018
6,BEA,winner,1.0,99.0,1,100,0.0,20,Haas F1 Team,19,0,0.0,-1.0,-98.0
6,BOR,podium,0.02,0.98,1,100,0.0,13,Kick Sauber,18,0,0.008,-0.012,0.01200000000000001
6,BOR,winner,1.0,99.0,2,193,0.0,13,Kick Sauber,18,0,0.0,-1.0,-98.0
6,DOO,podium,0.02,0.98,1,100,0.0,14,Alpine,20,0,0.0,-0.02,0.020000000000000018
6,DOO,winner,1.0,99.0,2,193,0.0,14,Alpine,20,0,0.0,-1.0,-98.0
6,GAS,podium,0.02518134715025907,0.9748186528497409,2,193,0.007071067811865474,18,Alpine,13,0,0.0,-0.02518134715025907,0.025181347150259104
6,GAS,winner,1.0,99.0,2,193,0.0,18,Alpine,13,0,0.0,-1.0,-98.0
6,HAD,podium,0.03,0.97,1,100,0.0,11,Racing Bulls,11,0,0.016,-0.013999999999999999,0.014000000000000012
6,HAD,winner,1.0,99.0,2,146,0.0,11,Racing Bulls,11,0,0.008,-0.992,-98.008
6,HAM,podium,0.040900755124056096,0.9590992448759439,9,1854,0.008660254037844388,12,Ferrari,8,0,0.008,-0.032900755124056096,0.0329007551240561
6,HAM,winner,0.4922193850409619,47.89590701138419,32,9399,0.4651845584142887,12,Ferrari,8,0,0.008,-0.4842193850409619,-46.90390701138419
6,HUL,podium,0.02,0.98,2,193,0.0,16,Kick Sauber,14,0,0.0,-0.02,0.020000000000000018
6,HUL,winner,1.0,99.0,4,293,0.0,16,Kick Sauber,14,0,0.0,-1.0,-98.0
6,LAW,podium,0.02,0.98,2,193,0.0,15,Racing Bulls,17,0,0.008,-0.012,0.01200000000000001
6,LAW,winner,1.0,99.0,2,200,0.0,15,Racing Bulls,17,0,0.0,-1.0,-98.0
6,LEC,podium,0.06623461259956553,0.9337653874004345,27,1381,0.03690289096836942,8,Ferrari,7,0,0.024,-0.042234612599565534,0.04223461259956551
6,LEC,winner,0.33613392583512103,32.53622280110328,33,6526,0.456580048741829,8,Ferrari,7,0,0.008,-0.328133925835121,-31.544222801103277
6,NOR,podium,0.7801669449081804,0.21983305509181972,25,599,0.0894427190999916,2,McLaren,2,1,0.72,-0.06016694490818042,0.06016694490818031
6,NOR,winner,0.36733258557660353,0.6326674144233965,239,24072,0.03086444854114218,2,McLaren,2,0,0.24,-0.12733258557660354,0.12733258557660354
6,OCO,podium,0.03,0.97,1,100,0.0,9,Haas F1 Team,12,0,0.016,-0.013999999999999999,0.014000000000000012
6,OCO,winner,1.0,99.0,2,200,0.0,9,Haas F1 Team,12,0,0.008,-0.992,-98.008
6,PIA,podium,0.6825142045454545,0.3174857954545454,29,704,0.09131362077971435,4,McLaren,1,1,0.352,-0.33051420454545455,0.3305142045454546
6,PIA,winner,0.18316241246894063,0.8168375875310595,256,17708,0.031051797925591436,4,McLaren,1,1,0.04,-0.14316241246894063,0.14316241246894046
6,RUS,podium,0.1799531981279251,0.8200468018720748,11,641,0.024605985967941734,5,Mercedes,3,1,0.192,0.012046801872074908,-0.012046801872074742
6,RUS,winner,0.026599335667474636,0.9734006643325253,60,11139,0.0054201965899260815,5,Mercedes,3,0,0.016,-0.010599335667474636,0.01059933566747473
6,SAI,podium,0.03437246963562753,0.9656275303643727,10,494,0.20971938923767214,6,Williams,9,0,0.12,0.08562753036437246,-0.08562753036437265
6,SAI,winner,1.0,99.0,8,4781,0.0,6,Williams,9,0,0.032,-0.968,-98.032
6,STR,podium,0.02,0.98,1,100,0.0,19,Aston Martin,16,0,0.0,-0.02,0.020000000000000018
6,STR,winner,1.0,99.0,2,193,0.0,19,Aston Martin,16,0,0.0,-1.0,-98.0
6,TSU,winner,1.0,99.0,3,1128,0.0,10,Red Bull Racing,10,0,0.024,-0.976,-98.024
6,VER,podium,0.7873167622689612,0.21268323773103892,25,1569,0.024819347291981726,1,Red Bull Racing,4,0,0.8,0.012683237731038854,-0.012683237731038965
6,VER,winner,0.3860007768382683,0.6139992231617317,398,33469,0.0337194003817195,1,Red Bull Racing,4,0,0.496,0.10999922316173172,-0.10999922316173172
7,ALB,winner,1.0,99.0,1,50,0.0,7,Williams,5,0,0.008,-0.992,-98.008
7,ALO,podium,0.04859154929577465,0.9514084507042253,4,142,0.010000000000000004,5,Aston Martin,11,0,0.192,0.14340845070422537,-0.14340845070422525
7,ALO,winner,1.0,99.0,5,396,0.0,5,Aston Martin,11,0,0.016,-0.984,-98.016
7,ANT,podium,0.039473684210526314,0.9605263157894737,2,38,0.014142135623730954,13,Mercedes,19,0,0.008,-0.03147368421052631,0.03147368421052632
7,ANT,winner,1.0,99.0,4,1279,0.0,13,Mercedes,19,0,0.0,-1.0,-98.0
7,BEA,winner,1.0,99.0,1,46,0.0,19,Haas F1 Team,17,0,0.0,-1.0,-98.0
7,GAS,winner,1.0,99.0,1,46,0.0,10,Alpine,13,0,0.024,-0.976,-98.024
7,HAD,winner,1.0,99.0,1,46,0.0,9,Racing Bulls,9,0,0.008,-0.992,-98.008
7,HAM,podium,0.06857345635202271,0.9314265436479774,7,1409,0.028535691936340257,12,Ferrari,4,0,0.008,-0.06057345635202271,0.0605734563520226
