event,round,race_name,driver,market,vwap_yes,vwap_no,n_trades,volume,price_min,price_max,price_std,grid_pos,gap_to_pole,team,finish_pos,status,is_fastest_lap,outcome,base_win,base_pod,base_rate,edge_yes,edge_no,teammate_grid_delta,is_street,high_overtaking,low_overtaking
AZEGP25,17,Azerbaijan Grand Prix,ALB,podium,0.0893,6.1036,4,591,0.03,1.0,0.4834,19,2.6610000000000014,Williams,13,Finished,0.0,0,0.0,0.0,0.0,-0.0893,-5.1036,17.0,1,0,0
AZEGP25,17,Azerbaijan Grand Prix,ALB,winner,1.0,99.0,1,935,1.0,1.0,0.0,19,2.6610000000000014,Williams,13,Finished,0.0,0,0.0,0.0,0.0,-1.0,-98.0,17.0,1,0,0
AZEGP25,17,Azerbaijan Grand Prix,ALO,podium,0.0492,0.9508,2,118,0.04,0.1,0.0424,11,0.7399999999999949,Aston Martin,15,Finished,0.0,0,0.0,0.0,0.0,-0.0492,0.04920000000000002,-3.0,1,0,0
AZEGP25,17,Azerbaijan Grand Prix,ALO,winner,1.0,99.0,3,693,1.0,1.0,0.0,11,0.7399999999999949,Aston Martin,15,Finished,0.0,0,0.0,0.0,0.0,-1.0,-98.0,-3.0,1,0,0
AZEGP25,17,Azerbaijan Grand Prix,ANT,podium,0.1609,0.8391,69,22078,0.07,0.95,0.1216,4,0.5999999999999943,Mercedes,4,Finished,0.0,0,0.0,0.391304347826087,0.391304347826087,0.23040434782608699,-0.23040434782608687,-1.0,1,0,0
AZEGP25,17,Azerbaijan Grand Prix,ANT,winner,0.7109,70.0838,32,11888,0.02,1.0,0.4729,4,0.5999999999999943,Mercedes,4,Finished,0.0,0,0.0,0.391304347826087,0.0,-0.7109,-69.0838,-1.0,1,0,0
AZEGP25,17,Azerbaijan Grand Prix,BEA,podium,1.0,99.0,1,10,1.0,1.0,0.0,15,1.5489999999999924,Haas F1 Team,12,Finished,0.0,0,0.0,0.0,0.0,-1.0,-98.0,-5.0,1,0,0
AZEGP25,17,Azerbaijan Grand Prix,COL,podium,1.0,99.0,1,100,1.0,1.0,0.0,16,1.661999999999992,Alpine,19,Lapped,0.0,0,0.0,0.0,0.0,-1.0,-98.0,-2.0,1,0,0
AZEGP25,17,Azerbaijan Grand Prix,GAS,podium,1.0,99.0,1,93,1.0,1.0,0.0,18,2.0219999999999914,Alpine,18,Lapped,0.0,0,0.0,0.0,0.0,-1.0,-98.0,2.0,1,0,0
AZEGP25,17,Azerbaijan Grand Prix,HAD,podium,0.0623,0.9377,13,1750,0.02,0.45,0.1555,8,1.2549999999999955,Racing Bulls,10,Finished,0.0,0,0.0,0.0,0.0,-0.0623,0.06230000000000002,5.0,1,0,0
AZEGP25,17,Azerbaijan Grand Prix,HAD,winner,1.0,99.0,5,887,1.0,1.0,0.0,8,1.2549999999999955,Racing Bulls,10,Finished,0.0,0,0.0,0.0,0.0,-1.0,-98.0,5.0,1,0,0
AZEGP25,17,Azerbaijan Grand Prix,HAM,podium,0.0958,0.9042,34,7897,0.03,0.26,0.044,12,1.0660000000000025,Ferrari,8,Finished,0.0,0,0.0,0.0,0.0,-0.0958,0.0958,2.0,1,0,0
AZEGP25,17,Azerbaijan Grand Prix,HAM,winner,0.3297,31.9569,24,6664,0.02,1.0,0.4335,12,1.0660000000000025,Ferrari,8,Finished,0.0,0,0.0,0.0,0.0,-0.3297,-30.9569,2.0,1,0,0
AZEGP25,17,Azerbaijan Grand Prix,LAW,podium,0.0686,1.9133,70,10082,0.03,1.0,0.1157,3,0.5899999999999892,Racing Bulls,5,Finished,0.0,0,0.21739130434782608,0.6956521739130435,0.6956521739130435,0.6270521739130435,-1.6089521739130435,-5.0,1,0,0
AZEGP25,17,Azerbaijan Grand Prix,LAW,winner,1.0,99.0,39,9532,1.0,1.0,0.0,3,0.5899999999999892,Racing Bulls,5,Finished,0.0,0,0.21739130434782608,0.6956521739130435,0.21739130434782608,-0.782608695652174,-98.21739130434783,-5.0,1,0,0
AZEGP25,17,Azerbaijan Grand Prix,LEC,podium,0.1141,1.2753,75,10168,0.02,1.0,0.1156,10,0.402000000000001,Ferrari,9,Finished,0.0,0,0.0,0.0,0.0,-0.1141,-0.2753000000000001,-2.0,1,0,0
AZEGP25,17,Azerbaijan Grand Prix,LEC,winner,0.041,1.7272,79,13789,0.02,1.0,0.1861,10,0.402000000000001,Ferrari,9,Finished,0.0,0,0.0,0.0,0.0,-0.041,-0.7272000000000001,-2.0,1,0,0
AZEGP25,17,Azerbaijan Grand Prix,NOR,podium,0.6963,0.3037,242,28910,0.45,0.91,0.0653,7,1.1219999999999999,McLaren,7,Finished,0.0,0,0.0,0.043478260869565216,0.043478260869565216,-0.6528217391304348,0.6528217391304347,-2.0,1,0,0
AZEGP25,17,Azerbaijan Grand Prix,NOR,winner,0.1602,0.8398,468,66956,0.05,0.58,0.0917,7,1.1219999999999999,McLaren,7,Finished,0.0,0,0.0,0.043478260869565216,0.0,-0.1602,0.1602,-2.0,1,0,0
AZEGP25,17,Azerbaijan Grand Prix,OCO,podium,0.9897,97.9571,2,94,0.03,1.0,0.6859,20,,Haas F1 Team,14,Finished,0.0,0,0.0,0.16666666666666666,0.16666666666666666,-0.8230333333333334,-97.12376666666667,5.0,1,0,0
