event,event_name,driver,qual_pos,finish_pos,fp1_pos,fp2_pos,fp3_pos,won,podium,pole,avg_race_pos,avg_qual_pos,win_rate,podium_rate,pole_rate,n_races,track_type_street,track_speed_high,track_overtaking_high,race_price_early,race_price_late,race_price_all,race_n_trades,pod_price_early,pod_price_late,pod_price_all,pod_n_trades,pole_price_early,pole_price_late,pole_n_trades
SGP25,Saudi Arabian Grand Prix,TSU,7.0,,10.0,6.0,9.0,0,0,0,11.1,10.4,0.0128205128205128,0.0384615384615384,0.0,78,1,1,0,,,,0,,,,0,,,0
SGP25,Saudi Arabian Grand Prix,VER,1.0,4.0,9.0,3.0,4.0,0,0,1,5.5,2.6,0.25,0.5775862068965517,0.3448275862068966,116,1,1,0,0.13076190476190475,0.20904761904761904,0.15203309692671396,423,0.77,0.602,0.6973809523809524,42,,,0
MGP25,Miami Grand Prix,ALB,7.0,6.0,5.0,,,0,0,0,11.7,11.9,0.0,0.1052631578947368,0.0105263157894736,95,1,0,0,0.01,0.01,0.01,4,0.03,0.03,0.024615384615384615,13,,,0
MGP25,Miami Grand Prix,ALO,17.0,15.0,10.0,,,0,0,0,11.3,12.5,0.0253164556962025,0.1645569620253164,0.0,79,1,0,0,0.01,0.01,0.01,5,0.03,0.03,0.03,1,,,0
MGP25,Miami Grand Prix,ANT,4.0,9.0,9.0,,,0,0,0,7.2,8.0,0.2,0.2,0.0,5,1,0,0,0.037083333333333336,0.06354166666666666,0.05630208333333333,192,0.1943243243243243,0.18,0.2562162162162162,148,,,0
MGP25,Miami Grand Prix,BEA,20.0,19.0,16.0,,,0,0,0,13.166666666666666,14.6,0.0,0.0,0.0,9,1,0,0,0.01,0.01,0.01,1,0.02,0.02,0.02,2,,,0
MGP25,Miami Grand Prix,BOR,13.0,18.0,15.0,,,0,0,0,13.4,17.8,0.0,0.0,0.0,5,1,0,0,0.01,0.01,0.01,2,0.02,0.02,0.02,1,,,0
MGP25,Miami Grand Prix,DOO,14.0,,19.0,,,0,0,0,14.0,15.6,0.0,0.0,0.0,9,1,0,0,0.01,0.01,0.01,2,0.02,0.02,0.02,1,,,0
MGP25,Miami Grand Prix,GAS,18.0,14.0,17.0,,,0,0,0,12.0,11.4,0.0256410256410256,0.0683760683760683,0.0,117,1,0,0,0.01,0.01,0.01,2,0.02,0.03,0.025,2,,,0
MGP25,Miami Grand Prix,HAD,11.0,11.0,6.0,,,0,0,0,9.5,10.2,0.0,0.0,0.0,7,1,0,0,0.01,0.01,0.01,2,0.01,0.03,0.02,2,,,0
MGP25,Miami Grand Prix,HAM,12.0,7.0,13.0,,,0,0,0,6.4,8.7,0.2241379310344827,0.5172413793103449,0.2068965517241379,116,1,0,0,0.08076923076923076,0.024615384615384615,0.049272727272727274,55,0.04666666666666667,0.1716666666666667,0.126,25,,,0
MGP25,Miami Grand Prix,HUL,16.0,12.0,14.0,,,0,0,0,15.1,13.1,0.0,0.0,0.0,61,1,0,0,0.01,0.01,0.01,4,0.02,0.02,0.02,2,,,0
MGP25,Miami Grand Prix,LAW,15.0,17.0,11.0,,,0,0,0,12.2,15.3,0.0,0.0769230769230769,0.0,13,1,0,0,0.01,0.01,0.01,2,0.02,0.02,0.02,2,,,0
