event,event_name,driver,qual_pos,finish_pos,won,podium,pole,avg_race_pos,win_rate,podium_rate,track_type_street,race_pre_weekend_vwap,race_pre_weekend_last,race_pre_weekend_n,race_friday_vwap,race_friday_last,race_friday_n,race_saturday_vwap,race_saturday_last,race_saturday_n,race_race_day_vwap,race_race_day_last,race_race_day_n,pod_pre_weekend_vwap,pod_pre_weekend_last,pod_pre_weekend_n,pod_friday_vwap,pod_friday_last,pod_friday_n,pod_saturday_vwap,pod_saturday_last,pod_saturday_n,pod_race_day_vwap,pod_race_day_last,pod_race_day_n
SGP25,Saudi Arabian Grand Prix,NOR,4.0,1.0,1,1,0,4.8,0.0603448275862069,0.1637931034482758,1,0.345,0.32,6,0.35916666666666663,0.36,12,0.3061702127659574,0.27,47,0.16035555555555553,0.01,225,,,0,0.82,0.82,1,0.72,0.72,1,0.885,0.97,4
SGP25,Saudi Arabian Grand Prix,OCO,19.0,17.0,0,0,0,13.8,0.0,0.0,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
SGP25,Saudi Arabian Grand Prix,PIA,2.0,3.0,0,1,0,4.7,0.1176470588235294,0.1764705882352941,1,0.33888888888888885,0.34,9,0.3546153846153846,0.34,26,0.5317525773195877,0.6,97,0.7850574712643679,0.99,348,0.795,0.79,2,0.8,0.8,2,0.8433333333333333,0.9,3,0.91,0.95,5
SGP25,Saudi Arabian Grand Prix,RUS,3.0,9.0,0,0,0,6.9,0.0603448275862069,0.1293103448275862,1,0.04,0.04,1,0.025,0.03,8,0.022000000000000002,0.02,10,0.020476190476190474,0.01,21,0.35,0.35,2,0.345,0.32,2,0.23,0.23,1,0.20428571428571426,0.08,14
SGP25,Saudi Arabian Grand Prix,SAI,8.0,6.0,0,0,0,7.0,0.0258620689655172,0.1551724137931034,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
SGP25,Saudi Arabian Grand Prix,STR,16.0,8.0,0,0,0,12.3,0.0,0.0260869565217391,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
SGP25,Saudi Arabian Grand Prix,TSU,7.0,,0,0,0,11.1,0.0128205128205128,0.0384615384615384,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
SGP25,Saudi Arabian Grand Prix,VER,1.0,4.0,0,0,1,5.5,0.25,0.5775862068965517,1,0.245625,0.25,16,0.235,0.21,38,0.14105263157894737,0.1,76,0.13549019607843138,0.01,255,0.575,0.59,4,0.62625,0.65,8,0.6225,0.77,4,0.7633333333333333,0.91,18
MGP25,Miami Grand Prix,ALB,7.0,6.0,0,0,0,11.7,0.0,0.1052631578947368,1,,,0,,,0,,,0,0.01,0.01,4,0.04,0.04,1,,,0,,,0,0.024,0.01,10
MGP25,Miami Grand Prix,ALO,17.0,15.0,0,0,0,11.3,0.0253164556962025,0.1645569620253164,1,,,0,,,0,0.01,0.01,1,0.01,0.01,4,,,0,,,0,,,0,0.03,0.03,1
MGP25,Miami Grand Prix,ANT,4.0,9.0,0,0,0,7.2,0.2,0.2,1,0.016666666666666666,0.01,3,0.08777777777777779,0.08,9,0.062,0.08,30,0.05447761194029851,0.01,134,0.1872222222222222,0.24,36,0.25952380952380955,0.13,21,0.29097560975609754,0.01,82,0.02,0.02,1
MGP25,Miami Grand Prix,BEA,20.0,19.0,0,0,0,13.166666666666666,0.0,0.0,1,,,0,,,0,,,0,0.01,0.01,1,,,0,,,0,,,0,0.02,0.02,2
MGP25,Miami Grand Prix,BOR,13.0,18.0,0,0,0,13.4,0.0,0.0,1,,,0,,,0,,,0,0.01,0.01,2,,,0,,,0,,,0,0.02,0.02,1
MGP25,Miami Grand Prix,DOO,14.0,,0,0,0,14.0,0.0,0.0,1,,,0,,,0,,,0,0.01,0.01,2,,,0,,,0,,,0,0.02,0.02,1
MGP25,Miami Grand Prix,GAS,18.0,14.0,0,0,0,12.0,0.0256410256410256,0.0683760683760683,1,,,0,,,0,,,0,0.01,0.01,1,,,0,,,0,,,0,0.025,0.02,2
MGP25,Miami Grand Prix,HAD,11.0,11.0,0,0,0,9.5,0.0,0.0,1,,,0,,,0,,,0,0.01,0.01,2,,,0,,,0,,,0,0.02,0.01,2
