year,round,circuit,country,event_name,driver,team,grid_pos,finish_pos,status,points,laps,qual_rain,race_rain,race_temp,qual_temp
2019,8,Le Castellet,France,French Grand Prix,PER,Racing Point,14,12,+1 Lap,0.0,52,False,False,26.89421487603306,26.27051282051282
2019,8,Le Castellet,France,French Grand Prix,STR,Racing Point,17,13,+1 Lap,0.0,52,False,False,26.89421487603306,26.27051282051282
2019,8,Le Castellet,France,French Grand Prix,KVY,Toro Rosso,19,14,+1 Lap,0.0,52,False,False,26.89421487603306,26.27051282051282
2019,8,Le Castellet,France,French Grand Prix,ALB,Toro Rosso,11,15,+1 Lap,0.0,52,False,False,26.89421487603306,26.27051282051282
2019,8,Le Castellet,France,French Grand Prix,GIO,Alfa Romeo Racing,10,16,+1 Lap,0.0,52,False,False,26.89421487603306,26.27051282051282
2019,8,Le Castellet,France,French Grand Prix,MAG,Haas F1 Team,15,17,+1 Lap,0.0,52,False,False,26.89421487603306,26.27051282051282
2019,8,Le Castellet,France,French Grand Prix,KUB,Williams,18,18,+2 Laps,0.0,51,False,False,26.89421487603306,26.27051282051282
2019,8,Le Castellet,France,French Grand Prix,RUS,Williams,20,19,+2 Laps,0.0,51,False,False,26.89421487603306,26.27051282051282
2019,8,Le Castellet,France,French Grand Prix,GRO,Haas F1 Team,16,20,Retired,0.0,44,False,False,26.89421487603306,26.27051282051282
2019,9,Spielberg,Austria,Austrian Grand Prix,VER,Red Bull Racing,2,1,Finished,26.0,71,False,False,34.44406779661016,29.65128205128205
2019,9,Spielberg,Austria,Austrian Grand Prix,LEC,Ferrari,1,2,Finished,18.0,71,False,False,34.44406779661016,29.65128205128205
2019,9,Spielberg,Austria,Austrian Grand Prix,BOT,Mercedes,3,3,Finished,15.0,71,False,False,34.44406779661016,29.65128205128205
2019,9,Spielberg,Austria,Austrian Grand Prix,VET,Ferrari,9,4,Finished,12.0,71,False,False,34.44406779661016,29.65128205128205
2019,9,Spielberg,Austria,Austrian Grand Prix,HAM,Mercedes,4,5,Finished,10.0,71,False,False,34.44406779661016,29.65128205128205
2019,9,Spielberg,Austria,Austrian Grand Prix,NOR,McLaren,5,6,+1 Lap,8.0,70,False,False,34.44406779661016,29.65128205128205
2019,9,Spielberg,Austria,Austrian Grand Prix,GAS,Red Bull Racing,8,7,+1 Lap,6.0,70,False,False,34.44406779661016,29.65128205128205
2019,9,Spielberg,Austria,Austrian Grand Prix,SAI,McLaren,19,8,+1 Lap,4.0,70,False,False,34.44406779661016,29.65128205128205
2019,9,Spielberg,Austria,Austrian Grand Prix,RAI,Alfa Romeo Racing,6,9,+1 Lap,2.0,70,False,False,34.44406779661016,29.65128205128205
2019,9,Spielberg,Austria,Austrian Grand Prix,GIO,Alfa Romeo Racing,7,10,+1 Lap,1.0,70,False,False,34.44406779661016,29.65128205128205
2019,9,Spielberg,Austria,Austrian Grand Prix,PER,Racing Point,13,11,+1 Lap,0.0,70,False,False,34.44406779661016,29.65128205128205
2019,9,Spielberg,Austria,Austrian Grand Prix,RIC,Renault,12,12,+1 Lap,0.0,70,False,False,34.44406779661016,29.65128205128205
2019,9,Spielberg,Austria,Austrian Grand Prix,HUL,Renault,15,13,+1 Lap,0.0,70,False,False,34.44406779661016,29.65128205128205
2019,9,Spielberg,Austria,Austrian Grand Prix,STR,Racing Point,14,14,+1 Lap,0.0,70,False,False,34.44406779661016,29.65128205128205
2019,9,Spielberg,Austria,Austrian Grand Prix,ALB,Toro Rosso,18,15,+1 Lap,0.0,70,False,False,34.44406779661016,29.65128205128205
2019,9,Spielberg,Austria,Austrian Grand Prix,GRO,Haas F1 Team,11,16,+1 Lap,0.0,70,False,False,34.44406779661016,29.65128205128205
2019,9,Spielberg,Austria,Austrian Grand Prix,KVY,Toro Rosso,16,17,+1 Lap,0.0,70,False,False,34.44406779661016,29.65128205128205
2019,9,Spielberg,Austria,Austrian Grand Prix,RUS,Williams,0,18,+2 Laps,0.0,69,False,False,34.44406779661016,29.65128205128205
